preferredLabel	CISCO_1	CISCO_2	CISCO_3	CISCO_4
furniture designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
kitchen unit installer	Craft and related trades workers	Building and related trades workers, excluding electricians	Building frame and related trades workers	Carpenters and joiners
mechanical forging press worker	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Blacksmiths, hammersmiths and forging press workers
cosmologist	Professionals	Science and engineering professionals	Physical and earth science professionals	Physicists and astronomers
laser cutting machine operator	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
surgical instrument maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Precision-instrument makers and repairers
driving instructor	Service and sales workers	Personal service workers	Other personal services workers	Driving instructors
mineral crushing operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Mineral and stone processing plant operators
editorial assistant	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Administrative and executive secretaries
rescue diver	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Underwater divers
industrial engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
service manager	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
fisheries master	Skilled agricultural, forestry and fishery workers	Market-oriented skilled forestry, fishery and hunting workers	Fishery workers, hunters and trappers	Deep-sea fishery workers
manicurist	Service and sales workers	Personal service workers	Hairdressers, beauticians and related workers	Beauticians and related workers
metallurgist	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mining engineers, metallurgists and related professionals
farrier	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Blacksmiths, hammersmiths and forging press workers
coastguard watch officer	Service and sales workers	Protective services workers	Protective services workers	Protective services workers not elsewhere classified
wig and hairpiece maker	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Tailors, dressmakers, furriers and hatters
matrose	Plant and machine operators and assemblers	Drivers and mobile plant operators	Ships’ deck crews and related workers	Ships’ deck crews and related workers
ICT application developer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Applications programmers
stand-up comedian	Professionals	Legal, social and cultural professionals	Creative and performing artists	Creative and performing artists not elsewhere classified
crosscut saw operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Wood processing plant operators
harp maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Musical instrument makers and tuners
infantry soldier	Technicians and associate professionals	Science and engineering associate professionals	Armed forces occupations, other ranks	Armed forces occupations, other ranks
furniture, carpets and lighting equipment distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
prop master/prop mistress	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
ICT system integration consultant	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Systems analysts
clothing sample machinist	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Sewing machine operators
dental chairside assistant	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Dental assistants and therapists
ticket sales agent	Clerical support workers	Customer services clerks	Client information workers	Travel consultants and clerks
shop supervisor	Service and sales workers	Sales workers	Shop salespersons	Shop supervisors
wood production supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
industrial machinery assembler	Plant and machine operators and assemblers	Assemblers	Assemblers	Mechanical machinery assemblers
specialist chiropractor	Professionals	Health professionals	Other health professionals	Health professionals not elsewhere classified
animal chiropractor	Professionals	Health professionals	Veterinarians	Veterinarians
tanning consultant	Service and sales workers	Personal service workers	Hairdressers, beauticians and related workers	Beauticians and related workers
modern languages lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
venue director	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Conference and event planners
palliative care social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
warehouse worker	Elementary occupations	Labourers in mining, construction, manufacturing and transport	Transport and storage labourers	Freight handlers
project manager	Managers	Administrative and commercial managers	Business services and administration managers	Business services and administration managers not elsewhere classified
yeast distiller	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
computer hardware test technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Electronics engineering technicians
groom	Elementary occupations	Agricultural, forestry and fishery labourers	Agricultural, forestry and fishery labourers	Livestock farm labourers
technical sales representative in chemical products	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Technical and medical sales professionals (excluding ICT)
leather goods packing operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Other stationary plant and machine operators	Packing, bottling and labelling machine operators
barista	Service and sales workers	Personal service workers	Waiters and bartenders	Bartenders
radiation protection officer	Professionals	Health professionals	Other health professionals	Environmental and occupational health and hygiene professionals
retail entrepreneur	Service and sales workers	Sales workers	Shop salespersons	Shop keepers
flying director	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
philosopher	Professionals	Legal, social and cultural professionals	Social and religious professionals	Philosophers, historians and political scientists
nitroglycerin neutraliser	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
accounting assistant	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Accounting associate professionals
aquaculture environmental analyst	Professionals	Science and engineering professionals	Life science professionals	Environmental protection professionals
archaeology lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
optometrist	Professionals	Health professionals	Other health professionals	Optometrists and ophthalmic opticians
literature teacher secondary school	Professionals	Teaching professionals	Secondary education teachers	Secondary education teachers
financial broker	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Securities and finance dealers and brokers
research manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Research and development managers
fish preparation operator	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Food processing and related trades workers	Butchers, fishmongers and related food preparers
securities broker	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Securities and finance dealers and brokers
public relations officer	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Public relations professionals
mask maker	Professionals	Legal, social and cultural professionals	Creative and performing artists	Visual artists
roadside vehicle technician	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Motor vehicle mechanics and repairers
flower and garden specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
mining electrician	Craft and related trades workers	Electrical and electronic trades workers	Electrical equipment installers and repairers	Electrical mechanics and fitters
aquaculture husbandry worker	Skilled agricultural, forestry and fishery workers	Market-oriented skilled forestry, fishery and hunting workers	Fishery workers, hunters and trappers	Aquaculture workers
metal product quality control inspector	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
security alarm technician	Craft and related trades workers	Electrical and electronic trades workers	Electronics and telecommunications installers and repairers	Information and communications technology installers and servicers
engineered wood board machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Wood processing plant operators
decontamination worker	Craft and related trades workers	Building and related trades workers, excluding electricians	Painters, building structure cleaners and related trades workers	Building structure cleaners
print folding operator	Craft and related trades workers	Handicraft and printing workers	Printing trades workers	Print finishing and binding workers
import export specialist in office machinery and equipment	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
social services manager	Managers	Production and specialised services managers	Professional services managers	Social welfare managers
pharmacy assistant	Technicians and associate professionals	Health associate professionals	Medical and pharmaceutical technicians	Pharmaceutical technicians and assistants
dairy products and edible oils distribution manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
pultrusion machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Rubber, plastic and paper products machine operators	Plastic products machine operators
student financial support coordinator	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Credit and loans officers
agricultural scientist	Professionals	Science and engineering professionals	Life science professionals	Farming, forestry and fisheries advisers
assistant lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
nursery school head teacher	Managers	Production and specialised services managers	Professional services managers	Child care services managers
advertising installer	Elementary occupations	Refuse workers and other elementary workers	Other elementary workers	Elementary workers not elsewhere classified
truck driving instructor	Service and sales workers	Personal service workers	Other personal services workers	Driving instructors
complementary therapist	Professionals	Health professionals	Traditional and complementary medicine professionals	Traditional and complementary medicine professionals
spring maker	Plant and machine operators and assemblers	Stationary plant and machine operators	Metal processing and finishing plant operators	Metal processing plant operators
fundraising manager	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Public relations professionals
arts education officer	Professionals	Legal, social and cultural professionals	Librarians, archivists and curators	Archivists and curators
fire inspector	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
digester operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Pulp and papermaking plant operators
calibration technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Electrical engineering technicians
marine engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mechanical engineers
ship pilot dispatcher	Clerical support workers	Numerical and material recording clerks	Material-recording and transport clerks	Transport clerks
prepared meals nutritionist	Professionals	Health professionals	Other health professionals	Dieticians and nutritionists
geothermal power plant operator	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Power production plant operators
bookkeeper	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Accounting associate professionals
gas scheduling representative	Clerical support workers	Numerical and material recording clerks	Material-recording and transport clerks	Transport clerks
computer science lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
clinical psychologist	Professionals	Legal, social and cultural professionals	Social and religious professionals	Psychologists
motor vehicle engine assembler	Plant and machine operators and assemblers	Assemblers	Assemblers	Mechanical machinery assemblers
timber trader	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Buyers
fisheries observer	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Regulatory government associate professionals not elsewhere classified
malt house supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
logistics engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
web developer	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Web and multimedia developers
agronomist	Professionals	Science and engineering professionals	Life science professionals	Farming, forestry and fisheries advisers
trade development officer	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
import export manager in tobacco products	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
control panel assembler	Plant and machine operators and assemblers	Assemblers	Assemblers	Electrical and electronic equipment assemblers
paper engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Chemical engineers
ornamental metal worker	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
stone polisher	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Cement, stone and other mineral products machine operators
babysitter	Service and sales workers	Personal care workers	Child care workers and teachers’ aides	Child care workers
audiologist	Professionals	Health professionals	Other health professionals	Audiologists and speech therapists
product development engineering drafter	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Draughtspersons
banking products manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Sales and marketing managers
botanicals specialist	Professionals	Science and engineering professionals	Life science professionals	Biologists, botanists, zoologists and related professionals
linguistics lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
vineyard cellar master	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Market gardeners and crop growers	Tree and shrub crop growers
foundry moulder	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Metal moulders and coremakers
politics lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
rolling stock assembly inspector	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
property assistant	Clerical support workers	Numerical and material recording clerks	Numerical clerks	Statistical, finance and insurance clerks
telecommunications analyst	Professionals	Science and engineering professionals	Electrotechnology engineers	Telecommunications engineers
dangerous goods driver	Plant and machine operators and assemblers	Drivers and mobile plant operators	Heavy truck and bus drivers	Heavy truck and lorry drivers
employment support worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
geologist	Professionals	Science and engineering professionals	Physical and earth science professionals	Geologists and geophysicists
adult community care worker	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Legal, social and religious associate professionals	Social work associate professionals
keyboard musical instrument maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Musical instrument makers and tuners
chief operating officer	Managers	Chief executives, senior officials and legislators	Managing directors and chief executives	Managing directors and chief executives
security consultant	Service and sales workers	Protective services workers	Protective services workers	Security guards
armed forces officer	Managers	Chief executives, senior officials and legislators	Commissioned armed forces officers	Commissioned armed forces officers
operations manager	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Manufacturing managers
coroner	Professionals	Legal, social and cultural professionals	Legal professionals	Legal professionals not elsewhere classified
army general	Managers	Chief executives, senior officials and legislators	Commissioned armed forces officers	Commissioned armed forces officers
absorbent pad machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Rubber, plastic and paper products machine operators	Paper products machine operators
import export manager in waste and scrap	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
choreologist	Professionals	Legal, social and cultural professionals	Creative and performing artists	Dancers and choreographers
varnish maker	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
tax inspector	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Government tax and excise officials
checkout supervisor	Service and sales workers	Sales workers	Shop salespersons	Shop supervisors
fitness instructor	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Sports and fitness workers	Fitness and recreation instructors and program leaders
community health worker	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Community health workers
organ builder	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Musical instrument makers and tuners
soap tower operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
animal feed supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
energy assessor	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
wholesale merchant in chemical products	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
laser beam welder	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Welders and flamecutters
market vendor	Service and sales workers	Sales workers	Street and market salespersons	Stall and market salespersons
mover	Elementary occupations	Labourers in mining, construction, manufacturing and transport	Transport and storage labourers	Freight handlers
foreign language correspondence clerk	Clerical support workers	Other clerical support workers	Other clerical support workers	Clerical support workers not elsewhere classified
talent agent	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Business services agents not elsewhere classified
wholesale merchant in tobacco products	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
food regulatory advisor	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Environmental and occupational health inspectors and associates
electricity distribution worker	Craft and related trades workers	Electrical and electronic trades workers	Electrical equipment installers and repairers	Electrical line installers and repairers
supply chain assistant	Technicians and associate professionals	Business and administration associate professionals	Administrative and specialised secretaries	Administrative and executive secretaries
geochemist	Professionals	Science and engineering professionals	Physical and earth science professionals	Geologists and geophysicists
hunter	Skilled agricultural, forestry and fishery workers	Market-oriented skilled forestry, fishery and hunting workers	Fishery workers, hunters and trappers	Hunters and trappers
aviation safety officer	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
test engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Engineering professionals not elsewhere classified
religious studies lecturer	Professionals	Teaching professionals	University and higher education teachers	University and higher education teachers
ICT environmental manager	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Environmental engineers
crop production worker	Elementary occupations	Agricultural, forestry and fishery labourers	Agricultural, forestry and fishery labourers	Mixed crop and livestock farm labourers
level crossing signalperson	Plant and machine operators and assemblers	Drivers and mobile plant operators	Locomotive engine drivers and related workers	Railway brake, signal and switch operators
aircraft interior technician	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Upholsterers and related workers
pill maker operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
air force pilot	Technicians and associate professionals	Science and engineering associate professionals	Armed forces occupations, other ranks	Armed forces occupations, other ranks
programme manager	Managers	Administrative and commercial managers	Business services and administration managers	Policy and planning managers
hazardous waste technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Chemical engineering technicians
technical sales representative	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Technical and medical sales professionals (excluding ICT)
mutual fund broker	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Securities and finance dealers and brokers
motor vehicle upholsterer	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Upholsterers and related workers
video designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Graphic and multimedia designers
road maintenance technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
primary school head teacher	Managers	Production and specialised services managers	Professional services managers	Education managers
glass beveller	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Glass makers, cutters, grinders and finishers
vermouth manufacturer	Plant and machine operators and assemblers	Stationary plant and machine operators	Food and related products machine operators	Food and related products machine operators
green coffee coordinator	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
accounting analyst	Professionals	Business and administration professionals	Finance professionals	Accountants
ground rigger	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Riggers and cable splicers
bulldozer operator	Plant and machine operators and assemblers	Drivers and mobile plant operators	Mobile plant operators	Earthmoving and related plant operators
policy officer	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
scrap metal operative	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal working machine tool setters and operators
sergeant	Professionals	Science and engineering professionals	Non-commissioned armed forces officers	Non-commissioned armed forces officers
scraper operator	Plant and machine operators and assemblers	Drivers and mobile plant operators	Mobile plant operators	Earthmoving and related plant operators
power plant manager	Managers	Administrative and commercial managers	Business services and administration managers	Business services and administration managers not elsewhere classified
consumer rights advisor	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Regulatory government associate professionals not elsewhere classified
wire harness assembler	Plant and machine operators and assemblers	Assemblers	Assemblers	Electrical and electronic equipment assemblers
train cleaner	Elementary occupations	Cleaners and helpers	Domestic, hotel and office cleaners and helpers	Cleaners and helpers in offices, hotels and other establishments
art director	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Graphic and multimedia designers
domestic cleaner	Elementary occupations	Cleaners and helpers	Domestic, hotel and office cleaners and helpers	Domestic cleaners and helpers
editor-in-chief	Professionals	Legal, social and cultural professionals	Authors, journalists and linguists	Journalists
gas processing plant supervisor	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Chemical processing plant controllers
energy analyst	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
drama teacher	Professionals	Teaching professionals	Other teaching professionals	Other arts teachers
costume buyer	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Buyers
product grader	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Other craft and related workers	Product graders and testers (excluding foods and beverages)
museum director	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
curator of horticulture	Professionals	Science and engineering professionals	Life science professionals	Biologists, botanists, zoologists and related professionals
import export manager in clothing and footwear	Managers	Production and specialised services managers	Manufacturing, mining, construction, and distribution managers	Supply, distribution and related managers
press and stationery specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
marine chief engineer	Technicians and associate professionals	Science and engineering associate professionals	Ship and aircraft controllers and technicians	Ships’ engineers
furniture upholsterer	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Upholsterers and related workers
audit supervisor	Professionals	Business and administration professionals	Finance professionals	Accountants
communication manager	Managers	Administrative and commercial managers	Sales, marketing and development managers	Advertising and public relations managers
warehouse order picker	Elementary occupations	Labourers in mining, construction, manufacturing and transport	Transport and storage labourers	Freight handlers
IT auditor	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Systems analysts
welding coordinator	Craft and related trades workers	Metal, machinery and related trades workers	Sheet and structural metal workers, moulders and welders, and related workers	Welders and flamecutters
police inspector	Technicians and associate professionals	Business and administration associate professionals	Regulatory government associate professionals	Police inspectors and detectives
community social worker	Professionals	Legal, social and cultural professionals	Social and religious professionals	Social work and counselling professionals
footwear hand sewer	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Shoemakers and related workers
dip tank operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Metal processing and finishing plant operators	Metal finishing, plating and coating machine operators
cultural centre director	Managers	Hospitality, retail and other services managers	Other services managers	Sports, recreation and cultural centre managers
radio producer	Professionals	Legal, social and cultural professionals	Creative and performing artists	Film, stage and related directors and producers
sound artist	Technicians and associate professionals	Information and communications technicians	Telecommunications and broadcasting technicians	Broadcasting and audiovisual technicians
scanning operator	Craft and related trades workers	Handicraft and printing workers	Printing trades workers	Pre-press technicians
wholesale merchant in clothing and footwear	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
nailing machine operator	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Wood treaters, cabinet-makers and related trades workers	Woodworking-machine tool setters and operators
glass installation supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Construction supervisors
pension scheme manager	Managers	Production and specialised services managers	Professional services managers	Financial and insurance services branch managers
sophrologist	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Physiotherapy technicians and assistants
real estate leasing manager	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Real estate agents and property managers
ICT network engineer	Professionals	Information and communications technology professionals	Database and network professionals	Computer network professionals
prepress operator	Craft and related trades workers	Handicraft and printing workers	Printing trades workers	Pre-press technicians
mattress making machine operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Textile, fur and leather products machine operators	Textile, fur and leather products machine operators not elsewhere classified
choirmaster/choirmistress	Professionals	Legal, social and cultural professionals	Creative and performing artists	Musicians, singers and composers
podiatrist	Professionals	Health professionals	Other health professionals	Health professionals not elsewhere classified
airspace manager	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
social security administrator	Managers	Administrative and commercial managers	Business services and administration managers	Policy and planning managers
art model	Service and sales workers	Sales workers	Other sales workers	Fashion and other models
crane technician	Craft and related trades workers	Metal, machinery and related trades workers	Machinery mechanics and repairers	Agricultural and industrial machinery mechanics and repairers
metal polisher	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Metal polishers, wheel grinders and tool sharpeners
telecommunications equipment maintainer	Craft and related trades workers	Electrical and electronic trades workers	Electronics and telecommunications installers and repairers	Information and communications technology installers and servicers
software architect	Professionals	Information and communications technology professionals	Software and applications developers and analysts	Software developers
violin maker	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Musical instrument makers and tuners
pulp control operator	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Process control technicians not elsewhere classified
brokerage firm director	Managers	Production and specialised services managers	Professional services managers	Financial and insurance services branch managers
cytology screener	Technicians and associate professionals	Health associate professionals	Medical and pharmaceutical technicians	Medical and pathology laboratory technicians
cabin crew instructor	Professionals	Teaching professionals	Vocational education teachers	Vocational education teachers
lottery operator	Clerical support workers	Customer services clerks	Tellers, money collectors and related clerks	Bookmakers, croupiers and related gaming workers
dental hygienist	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Dental assistants and therapists
precision mechanic	Craft and related trades workers	Metal, machinery and related trades workers	Blacksmiths, toolmakers and related trades workers	Toolmakers and related workers
technical sales representative in the textile machinery industry	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Technical and medical sales professionals (excluding ICT)
clothing fashion designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
costume designer	Professionals	Science and engineering professionals	Architects, planners, surveyors and designers	Product and garment designers
assistant clinical psychologist	Technicians and associate professionals	Health associate professionals	Other health associate professionals	Health associate professionals not elsewhere classified
club host/club hostess	Service and sales workers	Personal service workers	Other personal services workers	Personal services workers not elsewhere classified
hide grader	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Tailors, dressmakers, furriers and hatters
poultry breeder	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Animal producers	Poultry producers
notary	Professionals	Legal, social and cultural professionals	Legal professionals	Legal professionals not elsewhere classified
education programme coordinator	Managers	Production and specialised services managers	Professional services managers	Education managers
répétiteur	Professionals	Legal, social and cultural professionals	Creative and performing artists	Musicians, singers and composers
letting agent	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Real estate agents and property managers
gas processing plant operator	Technicians and associate professionals	Science and engineering associate professionals	Process control technicians	Petroleum and natural gas refining plant operators
optomechanical engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Mechanical engineering technicians
corporate banking manager	Professionals	Business and administration professionals	Finance professionals	Financial and investment advisers
creative director	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Advertising and marketing professionals
cider master	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Chemical engineers
statistical assistant	Technicians and associate professionals	Business and administration associate professionals	Financial and mathematical associate professionals	Statistical, mathematical and related associate professionals
legal service manager	Managers	Production and specialised services managers	Professional services managers	Professional services managers not elsewhere classified
fermenter operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Chemical and photographic products plant and machine operators	Chemical products plant and machine operators
entertainment journalist	Professionals	Legal, social and cultural professionals	Authors, journalists and linguists	Journalists
shelf filler	Elementary occupations	Labourers in mining, construction, manufacturing and transport	Transport and storage labourers	Shelf fillers
horticulture production manager	Skilled agricultural, forestry and fishery workers	Market-oriented skilled agricultural workers	Market gardeners and crop growers	Gardeners, horticultural and nursery growers
crime journalist	Professionals	Legal, social and cultural professionals	Authors, journalists and linguists	Journalists
wholesale merchant in wood and construction materials	Technicians and associate professionals	Business and administration associate professionals	Sales and purchasing agents and brokers	Trade brokers
secondary school department head	Managers	Production and specialised services managers	Professional services managers	Education managers
healthcare assistant	Service and sales workers	Personal care workers	Personal care workers in health services	Health care assistants
import export specialist in waste and scrap	Technicians and associate professionals	Business and administration associate professionals	Business services agents	Clearing and forwarding agents
