preferredLabel	CISCO_1	CISCO_2	CISCO_3	CISCO_4
drilling engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mining engineers, metallurgists and related professionals
humanitarian advisor	Professionals	Business and administration professionals	Administration professionals	Policy administration professionals
footwear CAD patternmaker	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Shoemakers and related workers
computer games, multimedia and software specialised seller	Service and sales workers	Sales workers	Shop salespersons	Shop sales assistants
sewerage maintenance technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
mediator	Professionals	Legal, social and cultural professionals	Legal professionals	Legal professionals not elsewhere classified
government minister	Managers	Chief executives, senior officials and legislators	Legislators and senior officials	Legislators
production supervisor	Technicians and associate professionals	Science and engineering associate professionals	Mining, manufacturing and construction supervisors	Manufacturing supervisors
explosives engineer	Professionals	Science and engineering professionals	Engineering professionals (excluding electrotechnology)	Mining engineers, metallurgists and related professionals
body artist	Technicians and associate professionals	Legal, social, cultural and related associate professionals	Artistic, cultural and culinary associate professionals	Other artistic and cultural associate professionals
bleacher operator	Plant and machine operators and assemblers	Stationary plant and machine operators	Wood processing and papermaking plant operators	Pulp and papermaking plant operators
network marketer	Professionals	Business and administration professionals	Sales, marketing and public relations professionals	Advertising and marketing professionals
decorative painter	Craft and related trades workers	Handicraft and printing workers	Handicraft workers	Sign writers, decorative painters, engravers and etchers
ceiling installer	Craft and related trades workers	Building and related trades workers, excluding electricians	Building finishers and related trades workers	Plasterers
fuel station specialised seller	Service and sales workers	Sales workers	Other sales workers	Service station attendants
derrickhand	Plant and machine operators and assemblers	Stationary plant and machine operators	Mining and mineral processing plant operators	Well drillers and borers and related workers
corrosion technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Civil engineering technicians
product development engineering technician	Technicians and associate professionals	Science and engineering associate professionals	Physical and engineering science technicians	Physical and engineering science technicians not elsewhere classified
marine upholsterer	Craft and related trades workers	Food processing, wood working, garment and other craft and related trades workers	Garment and related trades workers	Upholsterers and related workers
